"","id","title","author","year","total_weeks","first_week","debut_rank","best_rank"
"347",1309,"DAUGHTER OF SILENCE","Morris L. West",1961,21,1961-12-10,12,5
"348",131,"A HOUSEFUL OF LOVE","Marjorie Housepian",1957,4,1957-07-21,15,13
"349",1310,"DAVID THE KING","Gladys Schmitt",1946,18,1946-03-17,2,3
"350",1311,"DAWN AT LYONESSE","Mary Ellen Chase",1938,2,1938-03-21,7,7
"351",1312,"DAY OF CONFESSION","Allan Folsom",1998,3,1998-10-04,3,12
"352",1313,"DAY OF RECKONING","Jack Higgins",2000,5,2000-03-19,10,9
"353",1314,"DAY OF THE CHEETAH","Dale Brown",1989,9,1989-07-02,2,8
"354",1315,"DAY SHIFT","Charlaine Harris",2015,1,2015-05-24,3,15
"355",1316,"DAYBREAK","Belva Plain",1994,2,1994-05-08,11,15
"356",1317,"DAYLIGHT","David Baldacci",2020,1,2020-12-06,12,2
"357",1318,"DAYS AND NIGHTS","Konstantine Simonov",1945,11,1945-11-18,15,9
"358",1319,"DAYS OF INFAMY","Newt Gingrich and William R. Forstchen",2008,1,2008-05-18,9,11
"359",132,"A JOURNEY TO MATECUMBE","Robert Lewis Taylor",1961,22,1961-05-21,15,8
"360",1320,"DAZZLE","Judith Krantz",1990,14,1990-12-02,6,3
"361",1321,"DEACON KING KONG","James McBride",2020,4,2020-03-22,6,7
"362",1322,"DEAD AIM","Iris Johansen",2003,4,2003-04-20,14,6
"363",1323,"DEAD AND GONE","Charlaine Harris",2009,23,2009-05-24,5,1
"364",1324,"DEAD AS A DOORNAIL","Charlaine Harris",2005,1,2005-05-22,2,14
"365",1325,"DEAD EVER AFTER","Charlaine Harris",2013,5,2013-05-26,6,1
"366",1326,"DEAD HEAT","Dick Francis and Felix Francis",2007,4,2007-10-07,4,3
"367",1327,"DEAD HEAT","Joel C. Rosenberg",2008,6,2008-04-06,13,4
"368",1328,"DEAD HEAT","Patricia Briggs",2015,2,2015-03-22,9,8
"369",1329,"DEAD ICE","Laurell K. Hamilton",2015,1,2015-06-28,11,7
"370",133,"A KISS OF SHADOWS","Laurell K. Hamilton",2000,1,2000-10-22,7,14
"371",1330,"DEAD IN THE FAMILY","Charlaine Harris",2010,10,2010-05-23,2,1
"372",1331,"DEAD IN THE WATER","Stuart Woods",1997,4,1997-08-31,15,11
"373",1332,"DEAD MAN'S WALK","Larry McMurtry",1995,7,1995-09-17,1,7
"374",1333,"DEAD OF NIGHT","Randy Wayne White",2005,1,2005-04-10,2,14
"375",1334,"DEAD OR ALIVE","Tom Clancy and Grant Blackwood",2011,1,2011-03-20,12,15
"376",1335,"DEAD OR ALIVE","Tom Clancy with Grant Blackwood",2010,12,2010-12-26,11,1
"377",1336,"DEAD RECKONING","Charlaine Harris",2011,10,2011-05-22,2,1
"378",1337,"DEAD RINGER","Lisa Scottoline",2003,4,2003-06-15,12,5
"379",1338,"DEAD SILENCE","Randy Wayne White",2009,3,2009-03-29,6,7
"380",1339,"DEAD SLEEP","Greg Iles",2001,1,2001-07-29,11,13
"381",134,"A KISS REMEMBERED","Sandra Brown",2002,1,2002-04-28,11,15
"382",1340,"DEAD WATCH","John Sandford",2006,6,2006-06-04,1,2
"383",1341,"DEAD WRONG","J. A. Jance",2006,3,2006-08-13,9,8
"384",1342,"DEAD ZERO","Stephen Hunter",2011,1,2011-01-16,8,14
"385",1343,"DEADEYE DICK","Kurt Vonnegut",1982,14,1982-11-14,9,8
"386",1344,"DEADFALL","Linda Fairstein",2017,1,2017-08-13,7,12
"387",1345,"DEADLINE","John Sandford",2014,6,2014-10-26,11,1
"388",1346,"DEADLINE","Sandra Brown",2013,2,2013-10-13,14,7
"389",1347,"DEADLOCK","Catherine Coulter",2020,1,2020-08-16,15,8
"390",1348,"DEADLOCK","Iris Johansen",2009,1,2009-05-10,11,8
"391",1349,"DEADLOCKED","Charlaine Harris",2012,6,2012-05-20,4,1
"392",135,"A KNIGHT OF THE SEVEN KINGDOMS","George R. R. Martin",2015,10,2015-10-25,14,2
